| CartItem     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27       | toString | public | String  | Ljava/lang/String; | toString()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:69:5:69:13       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:30:77:5       |
| CartItem     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27       | hashCode | public | int     | I                  | hashCode()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:61:5:61:13       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:16:62:23       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:27:67:5       |
| CartItem     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27       | equals   | public | boolean | Z                  | equals(Object) | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:49:5:49:13       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:37:59:5       |
| ShoppingCart | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:11:14:11:25 | toString | public | String  | Ljava/lang/String; | toString()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:112:5:112:13 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:19:113:26 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:30:121:5 |
| App              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16               | main                   | public  | void            | V                          | main(String[])                     | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:44:51:5               |
| App              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16               | main                   | static  | void            | V                          | main(String[])                     | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:44:51:5               |
| App              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16               | App                    | public  | void            | V                          | App()                              | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16                | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16               |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getSubtotal            | public  | double          | D                          | getSubtotal()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:45:19:45:29         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:45:33:47:5         |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getQuantity            | public  | int             | I                          | getQuantity()                      | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:38:16:38:26         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:38:30:40:5         |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getPrice               | public  | double          | D                          | getPrice()                         | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:34:19:34:26         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:34:30:36:5         |
| CartItem         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:7:20:7:27          | getName                | public  | String          | Ljava/lang/String;         | getName()                          | null | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:30:19:30:25         | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:30:29:32:5         |
