| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:6:14:6:16                   |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:12:43:12:63                 |    0 |      |
| new ReceiptGenerator(...)    | ReceiptGenerator()    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:14:36:14:57                 |    0 |      |
| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:13:12:13:19            |    0 |      |
| new DiscountType(...)        | DiscountType()        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:13:9:13:12      |    0 |      |
| new DiscountType(...)        | DiscountType()        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:14:9:14:11      |    0 |      |
| new DiscountType(...)        | DiscountType()        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:15:9:15:20      |    0 |      |
| new DiscountType(...)        | DiscountType()        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:16:9:16:18      |    0 |      |
| super(...)                   | Enum(String, int)     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:12:17:12:28     |    0 |      |
| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:22:12:22:26     |    0 |      |
| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:7:14:7:29      |    0 |      |
| new StringBuilder(...)       | StringBuilder()       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:19:28:19:46    |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17    |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:17:14:17:34        |    0 |      |
| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:23:12:23:23        |    0 |      |
| new ArrayList<CartItem>(...) | ArrayList<CartItem>() | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:24:22:24:38        |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:26:57:26:77        |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:43:31:44:53        |    0 |      |
| ...::...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:73:43:73:63        |    0 |      |
| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:8:7:8:18           |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:24:54:25:38        |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:32:54:33:38        |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:40:54:41:42        |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:48:54:49:41        |    0 |      |
| ...->...                     | ()                    | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:56:54:57:42        |    0 |      |
| super(...)                   | Object()              | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:8:7:8:25    |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:13:35:13:55 |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:21:35:21:55 |    0 |      |
| new DiscountService(...)     | DiscountService()     | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/DiscountServiceTest.java:32:35:32:55 |    0 |      |
