| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:9:9:9:58                    | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:9:28:9:57                   | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:17:9:17:61                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:17:28:17:60                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:9:18:52                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:18:22:18:51                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:9:19:52                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:19:22:19:51                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:9:20:51                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:20:22:20:50                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:22:9:22:50                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:22:28:22:49                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:22:28:22:49                 | generate          |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:22:45:22:48                 | generate(ShoppingCart)                          | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | generate          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:14:19:14:26                    | ReceiptGenerator     |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:25:9:25:62                  | println           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:25:28:25:61                 | println(String)                                 | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | println           | file:///modules/java.base/java/io/PrintStream.class:0:0:0:0                                                                                        | PrintStream          |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:27:9:27:83                  | withDiscount      |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:27:48:27:79                 | withDiscount(DiscountType, double)              | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | withDiscount      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39                     | DiscountService      |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:27:9:27:83                  | withDiscount      |    2 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:27:82:27:82                 | withDiscount(DiscountType, double)              | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | withDiscount      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/DiscountService.java:28:28:28:39                     | DiscountService      |
| file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:9:28:55                  | addItem           |    1 | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:28:22:28:54                 | addItem(CartItem)                               | main                          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/App.java:8:24:8:27                   | App                                  | addItem           | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:32:17:32:23                        | ShoppingCart         |
