| accept        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17   | accept        | file:///modules/java.base/java/util/function/Consumer.class:0:0:0:0                                                                                         | Consumer<CartItem>         |
| test          | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:43:31:44:53       | test          | file:///modules/java.base/java/util/function/Predicate.class:0:0:0:0                                                                                        | Predicate<CartItem>        |
| applyAsDouble | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:73:43:73:63       | applyAsDouble | file:///modules/java.base/java/util/function/ToDoubleFunction.class:0:0:0:0                                                                                 | ToDoubleFunction<CartItem> |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:24:54:25:38       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:32:54:33:38       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:40:54:41:42       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:48:54:49:41       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/CartItemTest.java:56:54:57:42       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:38:54:38:77   | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/test/java/com/demo/ShoppingCartTest.java:111:59:112:58 | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| toString      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:70:19:70:26           | toString      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                    | Object                     |
| hashCode      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:62:16:62:23           | hashCode      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                    | Object                     |
| equals        | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/CartItem.java:50:20:50:25           | equals        | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                    | Object                     |
| toString      | file:///home/AlphaTrans/java_projects/automated_reduced_projects/maven/src/main/java/com/demo/ShoppingCart.java:113:19:113:26     | toString      | file:///modules/java.base/java/lang/Object.class:0:0:0:0                                                                                                    | Object                     |
| accept        | file:///home/AlphaTrans/java_projects/preprocessed_0/maven/src/main/java/com/demo/ReceiptGenerator.java:31:26:46:17   | accept        | file:///modules/java.base/java/util/function/Consumer.class:0:0:0:0                                                                                         | Consumer<CartItem>         |
| test          | file:///home/AlphaTrans/java_projects/preprocessed_0/maven/src/main/java/com/demo/ShoppingCart.java:43:31:44:53       | test          | file:///modules/java.base/java/util/function/Predicate.class:0:0:0:0                                                                                        | Predicate<CartItem>        |
| applyAsDouble | file:///home/AlphaTrans/java_projects/preprocessed_0/maven/src/main/java/com/demo/ShoppingCart.java:73:43:73:63       | applyAsDouble | file:///modules/java.base/java/util/function/ToDoubleFunction.class:0:0:0:0                                                                                 | ToDoubleFunction<CartItem> |
| execute       | file:///home/AlphaTrans/java_projects/preprocessed_0/maven/src/test/java/com/demo/CartItemTest.java:24:54:25:38       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/preprocessed_0/maven/src/test/java/com/demo/CartItemTest.java:32:54:33:38       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
| execute       | file:///home/AlphaTrans/java_projects/preprocessed_0/maven/src/test/java/com/demo/CartItemTest.java:40:54:41:42       | execute       | file:///root/.m2/repository/org/junit/jupiter/junit-jupiter-api/5.10.0/junit-jupiter-api-5.10.0.jar/org/junit/jupiter/api/function/Executable.class:0:0:0:0 | Executable                 |
